"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 21, 2018","14,521,000","16,799,000","16,865,000","13,890,000","14.90K","-13.56%"
"Jan 20, 2018","16,799,000","15,292,000","17,300,000","15,195,000","27.77K","9.85%"
"Jan 19, 2018","15,292,000","14,820,000","15,325,000","14,382,000","13.76K","3.18%"
"Jan 18, 2018","14,820,000","14,706,000","16,388,000","13,554,000","19.75K","0.78%"
"Jan 17, 2018","14,706,000","14,317,000","15,606,000","11,700,000","24.35K","2.72%"
"Jan 16, 2018","14,317,000","18,985,000","19,091,000","12,375,000","26.00K","-24.92%"
"Jan 15, 2018","19,068,000","19,142,000","19,950,000","18,381,000","11.54K","-0.39%"
"Jan 14, 2018","19,142,000","20,711,000","20,998,000","18,350,000","9.31K","-7.58%"
"Jan 13, 2018","20,711,000","20,316,000","21,173,000","20,031,000","10.85K","1.94%"
"Jan 12, 2018","20,316,000","19,147,000","20,700,000","18,252,000","11.91K","6.11%"
"Jan 11, 2018","19,147,000","20,500,000","21,124,000","17,510,000","13.75K","-6.60%"
"Jan 10, 2018","20,500,000","22,595,000","22,900,000","19,655,000","12.37K","-9.27%"
"Jan 09, 2018","22,595,000","23,737,000","24,402,000","21,700,000","11.85K","-4.81%"
"Jan 08, 2018","23,737,000","24,928,000","25,125,000","22,561,000","10.47K","-4.78%"
"Jan 07, 2018","24,928,000","24,771,000","25,490,000","24,270,000","8.56K","0.63%"
"Jan 06, 2018","24,771,000","25,026,000","25,766,000","23,314,000","20.01K","-1.02%"
"Jan 05, 2018","25,026,000","21,576,000","25,988,000","21,046,000","25.29K","15.99%"
"Jan 04, 2018","21,576,000","20,419,000","21,830,000","19,891,000","14.73K","5.67%"
"Jan 03, 2018","20,419,000","19,838,000","20,810,000","19,800,000","15.67K","2.93%"
"Jan 02, 2018","19,838,000","18,655,000","20,800,000","18,570,000","17.46K","6.34%"
"Jan 01, 2018","18,655,000","19,208,000","19,296,000","18,362,000","10.24K","-2.88%"
"Dec 31, 2017","19,208,000","18,271,000","19,500,000","18,200,000","13.14K","5.13%"
"Dec 30, 2017","18,271,000","19,229,000","19,300,000","18,000,000","12.73K","-4.98%"
"Dec 29, 2017","19,229,000","19,456,000","19,577,000","18,669,000","16.46K","-1.17%"
"Dec 28, 2017","19,456,000","21,851,000","21,920,000","18,500,000","20.74K","-10.96%"
"Dec 27, 2017","21,851,000","21,384,000","22,456,000","21,002,000","21.63K","2.18%"
"Dec 26, 2017","21,384,000","19,338,000","21,995,000","19,215,000","28.38K","10.58%"
"Dec 25, 2017","19,338,000","18,991,000","19,470,000","18,785,000","14.53K","1.83%"
"Dec 24, 2017","18,991,000","19,157,000","19,250,000","17,544,000","15.70K","-0.87%"
"Dec 23, 2017","19,157,000","18,300,000","19,637,000","17,880,000","19.28K","4.68%"
"Dec 22, 2017","18,300,000","20,330,000","20,676,000","15,700,000","25.16K","-9.99%"
"Dec 21, 2017","20,330,000","21,040,000","21,800,000","19,150,000","18.67K","-3.37%"
"Dec 20, 2017","21,040,000","21,643,000","21,969,000","20,132,000","23.72K","-2.79%"
"Dec 19, 2017","21,643,000","21,850,000","22,464,000","20,502,000","21.05K","-0.95%"
"Dec 18, 2017","21,850,000","21,832,000","22,099,000","20,900,000","22.96K","0.08%"
"Dec 17, 2017","21,832,000","22,111,000","22,884,000","20,975,000","25.47K","-1.26%"
"Dec 16, 2017","22,111,000","20,031,000","22,505,000","19,850,000","24.12K","10.38%"
"Dec 15, 2017","20,031,000","18,644,000","21,000,000","18,616,000","26.44K","7.44%"
