"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 19, 2019","117.80","118.16","118.38","116.05","4.10M","0.73%"
"Jun 18, 2019","116.95","115.44","119.14","115.20","4.13M","2.29%"
"Jun 17, 2019","114.33","113.30","114.46","112.38","2.95M","1.11%"
"Jun 14, 2019","113.08","112.81","113.29","111.60","4.32M","-0.82%"
"Jun 13, 2019","114.01","113.98","114.26","112.52","3.08M","0.81%"
"Jun 12, 2019","113.09","114.01","114.28","112.04","3.38M","-1.98%"
"Jun 11, 2019","115.37","113.93","117.39","113.81","6.44M","3.23%"
"Jun 10, 2019","111.76","111.02","113.66","111.00","4.35M","1.78%"
"Jun 07, 2019","109.81","109.10","110.65","109.03","2.58M","0.84%"
"Jun 06, 2019","108.89","109.10","109.63","107.66","2.48M","-0.23%"
"Jun 05, 2019","109.14","111.63","111.75","107.35","4.79M","-2.06%"
"Jun 04, 2019","111.43","108.46","112.32","107.11","5.00M","3.39%"
"Jun 03, 2019","107.78","109.76","110.26","106.80","5.74M","-2.02%"
"May 31, 2019","110.00","110.00","111.14","108.75","5.17M","-1.63%"
"May 30, 2019","111.82","112.37","113.19","111.03","4.01M","-1.00%"
"May 29, 2019","112.95","113.20","114.00","112.08","5.17M","-1.04%"
"May 28, 2019","114.14","115.01","115.57","113.92","4.58M","-0.29%"
"May 24, 2019","114.47","114.55","115.87","114.04","4.90M","0.89%"
"May 23, 2019","113.46","115.30","115.77","113.30","7.09M","-4.17%"
"May 22, 2019","118.40","120.80","121.15","116.78","5.41M","-1.73%"
"May 21, 2019","120.49","119.22","121.12","118.16","9.09M","2.50%"
"May 20, 2019","117.55","123.23","123.27","117.16","18.05M","-8.39%"
"May 17, 2019","128.31","130.53","134.13","126.91","29.29M","-16.52%"
"May 16, 2019","153.70","153.31","155.45","152.02","4.94M","0.79%"
"May 15, 2019","152.50","151.73","153.54","150.88","3.07M","0.07%"
"May 14, 2019","152.39","153.08","153.78","151.36","3.58M","0.56%"
"May 13, 2019","151.54","151.63","153.80","150.02","5.32M","-3.32%"
"May 10, 2019","156.75","158.00","158.99","154.69","3.21M","-1.23%"
"May 09, 2019","158.70","156.35","159.65","153.87","4.24M","-0.55%"
"May 08, 2019","159.58","161.60","161.60","158.60","4.67M","-1.57%"
"May 07, 2019","162.13","162.90","163.22","160.60","2.95M","-1.44%"
"May 06, 2019","164.50","161.00","164.77","160.00","3.30M","-1.52%"
"May 03, 2019","167.04","167.40","168.34","166.55","2.23M","0.48%"
"May 02, 2019","166.24","165.76","167.65","164.00","1.86M","0.50%"
"May 01, 2019","165.42","166.58","168.63","165.37","1.91M","-0.49%"
"Apr 30, 2019","166.23","164.68","166.57","162.20","2.61M","0.23%"
"Apr 29, 2019","165.85","167.00","168.56","164.90","2.98M","-0.16%"
"Apr 26, 2019","166.12","167.85","167.86","163.98","3.71M","-1.08%"
"Apr 25, 2019","167.93","169.00","169.07","166.44","2.94M","-0.81%"
"Apr 24, 2019","169.30","174.00","174.26","169.10","3.24M","-2.30%"
